Image ID,Resolution Category,Size (KB),Time Taken (ms),TrialNum,Method,Filters
10,720p,179,15.10,1,WASM,SepiaTone
10,720p,179,8.40,2,JS,SepiaTone
10,720p,179,14.40,2,WASM,SepiaTone
10,720p,179,10.50,3,JS,SepiaTone
10,720p,179,14.10,3,WASM,SepiaTone
10,720p,179,7.30,4,JS,SepiaTone
10,720p,179,18.40,4,WASM,SepiaTone
10,720p,179,8.50,5,JS,SepiaTone
10,720p,179,13.70,5,WASM,SepiaTone
10,720p,179,7.50,6,JS,SepiaTone
10,720p,179,18.40,6,WASM,SepiaTone
10,720p,179,9.60,7,JS,SepiaTone
10,720p,179,14.80,7,WASM,SepiaTone
10,720p,179,7.00,8,JS,SepiaTone
10,720p,179,15.10,8,WASM,SepiaTone
10,720p,179,12.50,9,JS,SepiaTone
10,720p,179,14.40,9,WASM,SepiaTone
10,720p,179,8.10,10,JS,SepiaTone
10,720p,179,15.70,10,WASM,SepiaTone
11,1080p,379,22.60,1,JS,SepiaTone
11,1080p,379,32.10,1,WASM,SepiaTone
11,1080p,379,14.80,2,JS,SepiaTone
11,1080p,379,30.70,2,WASM,SepiaTone
11,1080p,379,16.10,3,JS,SepiaTone
11,1080p,379,30.40,3,WASM,SepiaTone
11,1080p,379,29.30,4,JS,SepiaTone
11,1080p,379,30.90,4,WASM,SepiaTone
11,1080p,379,15.00,5,JS,SepiaTone
11,1080p,379,30.70,5,WASM,SepiaTone
11,1080p,379,16.60,6,JS,SepiaTone
11,1080p,379,31.80,6,WASM,SepiaTone
11,1080p,379,17.20,7,JS,SepiaTone
11,1080p,379,33.50,7,WASM,SepiaTone
11,1080p,379,16.10,8,JS,SepiaTone
11,1080p,379,31.60,8,WASM,SepiaTone
11,1080p,379,14.70,9,JS,SepiaTone
11,1080p,379,33.30,9,WASM,SepiaTone
11,1080p,379,15.80,10,JS,SepiaTone
11,1080p,379,32.30,10,WASM,SepiaTone
12,1080p,279,14.90,1,JS,SepiaTone
12,1080p,279,33.50,1,WASM,SepiaTone
12,1080p,279,16.30,2,JS,SepiaTone
12,1080p,279,32.80,2,WASM,SepiaTone
12,1080p,279,23.90,3,JS,SepiaTone
12,1080p,279,33.70,3,WASM,SepiaTone
12,1080p,279,14.60,4,JS,SepiaTone
12,1080p,279,31.40,4,WASM,SepiaTone
12,1080p,279,29.20,5,JS,SepiaTone
12,1080p,279,40.80,5,WASM,SepiaTone
12,1080p,279,22.60,6,JS,SepiaTone
12,1080p,279,40.40,6,WASM,SepiaTone
12,1080p,279,25.90,7,JS,SepiaTone
12,1080p,279,31.90,7,WASM,SepiaTone
12,1080p,279,15.20,8,JS,SepiaTone
12,1080p,279,32.80,8,WASM,SepiaTone
12,1080p,279,22.40,9,JS,SepiaTone
12,1080p,279,33.30,9,WASM,SepiaTone
12,1080p,279,15.20,10,JS,SepiaTone
12,1080p,279,32.00,10,WASM,SepiaTone
13,1080p,424,23.50,1,JS,SepiaTone
13,1080p,424,32.20,1,WASM,SepiaTone
13,1080p,424,34.40,2,JS,SepiaTone
13,1080p,424,39.90,2,WASM,SepiaTone
13,1080p,424,15.50,3,JS,SepiaTone
13,1080p,424,44.10,3,WASM,SepiaTone
13,1080p,424,26.10,4,JS,SepiaTone
13,1080p,424,31.30,4,WASM,SepiaTone
13,1080p,424,15.00,5,JS,SepiaTone
13,1080p,424,31.30,5,WASM,SepiaTone
13,1080p,424,18.30,6,JS,SepiaTone
13,1080p,424,32.20,6,WASM,SepiaTone
13,1080p,424,21.90,7,JS,SepiaTone
13,1080p,424,40.90,7,WASM,SepiaTone
13,1080p,424,39.40,8,JS,SepiaTone
13,1080p,424,40.50,8,WASM,SepiaTone
13,1080p,424,16.90,9,JS,SepiaTone
13,1080p,424,46.90,9,WASM,SepiaTone
13,1080p,424,17.20,10,JS,SepiaTone
13,1080p,424,33.00,10,WASM,SepiaTone
14,1080p,440,15.20,1,JS,SepiaTone
14,1080p,440,32.90,1,WASM,SepiaTone
14,1080p,440,19.90,2,JS,SepiaTone
14,1080p,440,32.50,2,WASM,SepiaTone
14,1080p,440,15.00,3,JS,SepiaTone
14,1080p,440,32.90,3,WASM,SepiaTone
14,1080p,440,22.90,4,JS,SepiaTone
14,1080p,440,33.00,4,WASM,SepiaTone
14,1080p,440,16.40,5,JS,SepiaTone
14,1080p,440,33.60,5,WASM,SepiaTone
14,1080p,440,16.20,6,JS,SepiaTone
14,1080p,440,34.40,6,WASM,SepiaTone
14,1080p,440,22.90,7,JS,SepiaTone
14,1080p,440,32.90,7,WASM,SepiaTone
14,1080p,440,17.60,8,JS,SepiaTone
14,1080p,440,35.10,8,WASM,SepiaTone
14,1080p,440,15.30,9,JS,SepiaTone
14,1080p,440,33.30,9,WASM,SepiaTone
14,1080p,440,23.20,10,JS,SepiaTone
14,1080p,440,31.40,10,WASM,SepiaTone
15,1080p,329,21.80,1,JS,SepiaTone
15,1080p,329,34.20,1,WASM,SepiaTone
15,1080p,329,22.30,2,JS,SepiaTone
15,1080p,329,39.20,2,WASM,SepiaTone
15,1080p,329,14.80,3,JS,SepiaTone
15,1080p,329,31.10,3,WASM,SepiaTone
15,1080p,329,25.20,4,JS,SepiaTone
15,1080p,329,35.40,4,WASM,SepiaTone
15,1080p,329,14.40,5,JS,SepiaTone
15,1080p,329,32.40,5,WASM,SepiaTone
