Image ID,Resolution Category,Size (KB),Time Taken (ms),TrialNum,Method,Filters
8,720p,151,200.00,10,JS,GaussianBlur
8,720p,151,62.00,10,WASM,GaussianBlur
9,720p,154,189.10,1,JS,GaussianBlur
9,720p,154,66.60,1,WASM,GaussianBlur
9,720p,154,194.70,2,JS,GaussianBlur
9,720p,154,65.30,2,WASM,GaussianBlur
9,720p,154,207.20,3,JS,GaussianBlur
9,720p,154,68.30,3,WASM,GaussianBlur
9,720p,154,191.40,4,JS,GaussianBlur
9,720p,154,64.80,4,WASM,GaussianBlur
9,720p,154,197.00,5,JS,GaussianBlur
9,720p,154,65.40,5,WASM,GaussianBlur
9,720p,154,197.80,6,JS,GaussianBlur
9,720p,154,64.10,6,WASM,GaussianBlur
9,720p,154,188.00,7,JS,GaussianBlur
9,720p,154,62.60,7,WASM,GaussianBlur
9,720p,154,200.80,8,JS,GaussianBlur
9,720p,154,65.10,8,WASM,GaussianBlur
9,720p,154,194.90,9,JS,GaussianBlur
9,720p,154,63.20,9,WASM,GaussianBlur
9,720p,154,188.10,10,JS,GaussianBlur
9,720p,154,68.10,10,WASM,GaussianBlur
10,720p,179,205.10,1,JS,GaussianBlur
10,720p,179,65.60,1,WASM,GaussianBlur
10,720p,179,186.10,2,JS,GaussianBlur
10,720p,179,63.60,2,WASM,GaussianBlur
10,720p,179,189.10,3,JS,GaussianBlur
10,720p,179,63.80,3,WASM,GaussianBlur
10,720p,179,199.00,4,JS,GaussianBlur
10,720p,179,65.00,4,WASM,GaussianBlur
10,720p,179,191.20,5,JS,GaussianBlur
10,720p,179,66.40,5,WASM,GaussianBlur
10,720p,179,188.90,6,JS,GaussianBlur
10,720p,179,62.60,6,WASM,GaussianBlur
10,720p,179,206.20,7,JS,GaussianBlur
10,720p,179,65.40,7,WASM,GaussianBlur
10,720p,179,186.20,8,JS,GaussianBlur
10,720p,179,65.40,8,WASM,GaussianBlur
10,720p,179,189.10,9,JS,GaussianBlur
10,720p,179,63.70,9,WASM,GaussianBlur
10,720p,179,194.90,10,JS,GaussianBlur
10,720p,179,65.10,10,WASM,GaussianBlur
11,1080p,379,437.00,1,JS,GaussianBlur
11,1080p,379,149.10,1,WASM,GaussianBlur
11,1080p,379,450.80,2,JS,GaussianBlur
11,1080p,379,149.60,2,WASM,GaussianBlur
11,1080p,379,433.70,3,JS,GaussianBlur
11,1080p,379,145.70,3,WASM,GaussianBlur
11,1080p,379,418.50,4,JS,GaussianBlur
11,1080p,379,143.90,4,WASM,GaussianBlur
11,1080p,379,438.40,5,JS,GaussianBlur
11,1080p,379,139.90,5,WASM,GaussianBlur
11,1080p,379,422.20,6,JS,GaussianBlur
11,1080p,379,142.80,6,WASM,GaussianBlur
11,1080p,379,436.40,7,JS,GaussianBlur
11,1080p,379,139.90,7,WASM,GaussianBlur
11,1080p,379,425.80,8,JS,GaussianBlur
11,1080p,379,144.80,8,WASM,GaussianBlur
11,1080p,379,442.90,9,JS,GaussianBlur
11,1080p,379,142.10,9,WASM,GaussianBlur
11,1080p,379,417.00,10,JS,GaussianBlur
11,1080p,379,145.70,10,WASM,GaussianBlur
12,1080p,279,430.30,1,JS,GaussianBlur
12,1080p,279,141.90,1,WASM,GaussianBlur
12,1080p,279,423.90,2,JS,GaussianBlur
12,1080p,279,145.00,2,WASM,GaussianBlur
